name;acronym_id;logo_id;;;;
CHL JUJOL;18;23;;;;
ESPANYA HC;9;14;;;;
TRES CANTOS PC;31;36;;;;
CAJA RURAL CPLV;7;12;;;;
CE BCN TSUNAMIS;33;38;;;;
HOCKEY CLUB CASTELLÓN;6;11;;;;
CHC LAS ROZAS;28;33;;;;
HC RUBÍ CENT PATINS;29;34;;;;
METROPOLITANO HC;21;26;;;;
MOLINA SPORT ACEGC;23;28;;;;
SAB TUCANS ASME;34;39;;;;
CPLV MUNIA PANTERAS;7;12;;;;
CLUB PATÍ VILA-REAL;36;41;;;;
CHL ARANDA DE DUERO;2;7;;;;
HC PLAYAS DE OROPESA;24;29;;;;
ARONA GUANCHES HC;14;19;;;;
ESPANYA HC B;9;14;;;;
TRES CANTOS PC B;31;36;;;;
HC RUBÍ CENT PATINS B;29;34;;;;
CPLV UEMC;7;12;;;;
HC CASTELLON B;6;11;;;;
FIGHTERS VILAREAL;36;41;;;;
CPH SKULLS ALMASERA;30;35;;;;
CPLF VALLADOLID-GATAS;13;18;;;;
FENIX PL MADRID;10;15;;;;
CHL MEIGAS LUGO;20;25;;;;
CP LOSTREGOS LUCUS ;19;24;;;;
CPLV PANTERAS UEMC;7;12;;;;
ANGELS SAGUNTO;1;6;;;;
CP ALAS DE SAGUNTO;1;6;;;;
CHL JUJOL JOKERS;18;23;;;;
UROLOKI - AESA;35;40;;;;
HCR CENT PATINS;29;34;;;;
HALCONES TORREVIEJA;15;20;;;;
CPL VALLADOLID;7;12;;;;
CPHL ARROYO DE LA ENCOMIENDA;3;8;;;;
CP ELCHE-TITANES DE ELCHE;8;13;;;;
SKULLS ALMÀSSERA;30;35;;;;
TUCANS ASME;34;39;;;;
CP LOSTREGOS;19;24;;;;
LOBOS ISCAR;17;22;;;;
CE GADEX;12;17;;;;
HL IGUALADA;16;21;;;;
BCN TSUNAMIS B;33;38;;;;
SKULLS DE ALMASSERA;30;35;;;;
ALAS DE SAGUNTO;1;6;;;;
DIABLOS DE MISLATA;22;27;;;;
CH CARTAGENA;4;9;;;;
CP CASTELLBISBALL;5;10;;;;
AE SANT ANDREU-UROLOKI;35;40;;;;
CPLV C;7;12;;;;
ARANDA DE DUERO;2;7;;;;
CHC LAS ROZAS B;28;33;;;;
RENOS CIUDAD PATINA;26;31;;;;
CPL MADRID FÉNIX;10;15;;;;
PUMAS DEL NORTE;25;30;;;;
CHL TROYANOS VILLA ROBLEDO;32;37;;;;
FUENGIROLA LIONS;11;16;;;;
LLOPS VILA REAL;36;41;;;;
CLUB ROLLER MURCIA;36;32;;;;
